,site,m,mse,b,bse,inv_condnum,res_var,n,lat,lon,elev,proj,koppen,clim
17,Diaz_Museum_MBZA,8.441905083045619,0.6534402643135371,14.542970637141076,2.173420095761486,0.128242129049,64.4858698478,55.0,-34.18,22.14,10.0,159.0,Cfb,C
18,Ehl_196,7.597959959152646,0.1175014017496657,3.314972503815425,1.711989888297613,0.0194143087427,28.5341961744,92.0,40.78328,-111.84583,1574.9016,78.0,Dfb,D
19,Ehl_83,7.642908131279147,0.12035655649145813,2.5353367727415606,1.712320165762337,0.0234232660828,67.4645287307,159.0,40.667,-111.7991,1569.72,78.0,Dfb,D
172,JAMSTEC_29231,7.84219958913873,0.04663333036832921,7.014692672415967,0.81943469240892,0.0178062376463,6.60717580606,81.0,58.32,82.95,75.0,167.0,Dfc,D
173,JAMSTEC_29263,7.772634520510256,0.2540638698502435,2.703887652739083,4.832824099043474,0.0166851456788,167.538647479,57.0,58.45,92.15,79.0,167.0,Dfc,D
174,JAMSTEC_29698,7.911221621486271,0.041914960820389154,7.062407779240853,0.8799842693665294,0.0174151434448,7.60203951086,61.0,54.88,99.03,411.0,167.0,Dwc,D
175,JAMSTEC_30554,7.844065426512169,0.11345004740819846,6.67017902212135,2.9992016121386267,0.0148283997248,132.957719143,80.0,54.47,113.58,903.0,167.0,Dwc,D
176,JAMSTEC_31004,7.86293880618826,0.10160960831885679,7.320197693644753,2.53503108775117,0.012772330647,43.4374062149,55.0,58.62,125.37,679.0,167.0,Dfc,D
182,JAMSTEC_96195,7.679466222915111,0.16751808894967324,6.8145970695525895,1.071606887184919,0.046387690954,8.02848888453,55.0,-1.63,103.65,25.0,167.0,Af,A
183,JAMSTEC_97014,7.944010789290353,0.13839232056766917,11.55543140253681,0.8391221416552311,0.0386660956381,2.64011517142,48.0,1.53,124.92,80.0,167.0,Af,A
184,JAMSTEC_97180,7.424068346547661,0.21856369141893933,6.745734143861085,1.3959002426614846,0.0462805966597,12.3729205447,48.0,-5.07,119.55,14.0,167.0,Am,A
185,JAMSTEC_97230,7.696745062604811,0.21981973153344223,11.774499728372833,0.7996417955959073,0.1390862835,11.9257850167,50.0,-8.75,115.17,1.0,167.0,Af,A
186,JAMSTEC_Kotot,7.98378832284505,0.15231108791923917,13.10295201209113,1.2628752696569583,0.027168057474,6.81180578282,63.0,-0.2,100.32,865.0,167.0,Af,A
187,JAMSTEC_Palau,7.558124322738045,0.21474657125898053,7.30986174010039,0.9856852293836658,0.0675353181464,7.33979447509,50.0,7.0,134.27,2.0,167.0,N,N
197,LQR3,9.054711466804243,0.2135879460463887,16.559307671891855,0.6040936523012215,0.117077931618,4.48799374931,82.0,18.277,-65.786,625.0,129.0,Af,A
199,LQR4,8.88656046882607,0.156175809635474,18.311318814590503,0.5353623095376495,0.0834279009089,2.83884727259,89.0,18.27,-65.76,1011.0,129.0,Af,A
201,LQR6,8.775817031267751,0.2041725466428763,15.517249924153418,0.5546383770351258,0.144948102082,5.7804640853,87.0,18.31582,-65.74315,482.0,129.0,Af,A
202,LQS11_LQR5b,8.79683812845109,0.19282967039043775,13.71962392015839,0.49599601857065645,0.18922246796,4.390305198,57.0,18.37226,-65.76311,5.0,129.0,Af,A
227,MZV_airport,8.20493141015548,0.10126129986201106,13.04681796555033,0.8743373088407225,0.0270313036346,4.13627784754,78.0,4.05,114.81,24.0,161.0,Af,A
308,SAfricaPrec_02,6.432519581934585,0.24954763755071074,8.08937657599912,0.7936745454467958,0.14351685873,38.1595940832,148.0,-33.96,18.46,115.0,138.0,Csb,C
325,SAfricaPrec_19,7.401791019527027,0.1635681119438553,13.328633264107783,0.6217182395771347,0.152858257388,15.821576382,83.0,-25.77,28.26,1431.0,139.0,Cwa,C
342,SanAgustin_PR,8.44315836974174,0.22413430453103936,11.610439981945683,0.5338013307422164,0.205917663168,20.0480392359,204.0,18.3893,-66.56934,178.0,129.0,Af,A
701,isomap_1009100,7.607912896772646,0.10138669011730954,5.352661246443933,0.9084666800565107,0.0236607619248,7.04924181689,134.0,54.6789,13.4342,42.0,20.0,Cfb,C
704,isomap_1011300,7.931619129411083,0.12449483521809492,7.584653552723985,0.8859215597305531,0.0307684741168,7.88205330611,151.0,53.7122,7.1519,11.0,20.0,Cfb,C
707,isomap_1013100,7.93919352128411,0.09760217804145256,6.627488099549481,0.7107646539705282,0.0320383788067,15.8644353828,420.0,53.8713,8.7058,5.0,20.0,Cfb,C
713,isomap_1018400,7.388396683694618,0.10771325781108651,3.0233959288302468,0.9591306583444789,0.0300515749213,12.6727692754,132.0,54.0967,13.4056,2.0,20.0,Cfb,C
722,isomap_1026100,7.512477776669969,0.07927335095959721,3.9419422461242015,0.6773684793236252,0.0344914989691,11.2807794043,199.0,52.8911,11.7294,21.0,20.0,Cfb,C
725,isomap_1028000,7.606124699231001,0.14100488133772487,4.527245072459992,1.2508111087229135,0.0273791439001,7.93581971341,61.0,53.5483,13.1931,81.0,20.0,Cfb,C
730,isomap_1032500,7.899308776582019,0.06999192154134123,7.050476056370546,0.561246014680607,0.0318056091936,11.3079002017,408.0,52.1042,8.7519,135.0,20.0,Cfb,C
733,isomap_1034800,8.039623385471087,0.10305569344324364,4.8587249249952675,0.7748267970139052,0.0370806526059,25.9358881044,420.0,52.2914,10.4464,81.0,20.0,Cfb,C
738,isomap_1038400,7.852365456417033,0.07659723112097988,4.476425083380457,0.6350879118875908,0.0340065870814,18.0993595178,419.0,52.4672,13.4019,48.0,20.0,Cfb,C
741,isomap_1040600,7.880237533902307,0.07756482296687942,6.37683195815537,0.5760062285417518,0.0323334662979,10.9075597114,413.0,51.83,6.25,43.0,20.0,Cfb,C
744,isomap_1042700,7.6853794963125175,0.09172921084643168,8.87579786336603,0.8322916254984719,0.0225935019151,7.97577552212,196.0,51.18,8.4889,839.0,20.0,Cfb,C
749,isomap_1046000,7.716231930861737,0.07276391863270978,5.111880971357733,0.658674266572822,0.0332526658015,10.6173195118,199.0,51.3744,11.2919,164.0,20.0,Cfb,C
750,isomap_1046900,7.781231552844017,0.09434136586468371,6.425829772633498,0.847269963957509,0.0292449225386,14.8400751713,221.0,51.35,12.43,125.0,20.0,Cfb,C
755,isomap_1049900,7.747541005003033,0.07939090794461985,5.915538139245344,0.7269365873421302,0.0318068571741,11.9279173738,197.0,51.1622,14.9506,238.0,20.0,Cfb,C
759,isomap_1051500,7.851028502937474,0.07258604595123756,3.0615310967001146,0.5363333807190324,0.044950292324,16.842075308,393.0,50.3381,7.6,85.0,20.0,Cfb,C
763,isomap_1054400,7.973467660314101,0.05698447714595075,10.73579719954009,0.5550352570481046,0.0215922017244,7.71824370973,432.0,50.4972,9.9428,921.0,20.0,Cfb,C
768,isomap_1058200,7.761682291029745,0.10391347717904093,9.435190044244553,1.0568174033812654,0.0252588043069,15.4091125935,156.0,50.7311,13.7514,877.0,20.0,Cfb,C
