,site,DJF_dex,JJA_dex,DJF_dex_s,JJA_dex_s,DJF_d18O,JJA_d18O,DJF_d18O_s,JJA_d18O_s,koppen,clim
17,Diaz_Museum_MBZA,10.96265811550891,15.390293458458393,6.903215679446029,7.448640436334883,-1.5105441482893198,-4.504997693487417,1.397026296011753,1.1722107364296899,Cfb,C
18,Ehl_196,9.573068455627045,6.169364875391029,2.573492377165962,6.7502607080541175,-17.180947948912358,-9.55078939527525,2.8087534983369937,4.843534379051831,Dfb,D
19,Ehl_83,7.342636223769764,2.236369563817645,6.83359308818762,7.335919187863605,-17.47702175987656,-8.130548178919016,3.7009276568849634,4.63094071451876,Dfb,D
172,JAMSTEC_29231,11.196793655980027,7.253066095758541,2.2383930554094307,2.004943632722976,-24.039476726872685,-10.67614783424773,3.2021654078197037,0.8566062156471009,Dfc,D
173,JAMSTEC_29263,9.312177720581435,6.385885090989874,1.7578760450513458,2.195163042552798,-26.115235951006664,-11.383235403016263,3.1428979409374707,1.093829326763991,Dfc,D
174,JAMSTEC_29698,8.814592453659875,6.153366223926475,2.4557574971277885,1.5231917807996869,-30.227101017670236,-11.224464300587437,3.6431512115035214,1.6887040778749507,Dwc,D
175,JAMSTEC_30554,15.38636609380938,5.875596734850243,19.25338086723208,2.525220316222459,-36.76438863218681,-12.093045243559525,4.197666061441384,1.9238603972949664,Dwc,D
176,JAMSTEC_31004,12.15180355367192,7.0048982930452,6.016182215508987,4.997067373846119,-33.82085136004226,-14.180453428120328,1.5503462829248154,1.7098104053034728,Dfc,D
182,JAMSTEC_96195,7.296660402087997,7.867404738510244,2.274153599608371,2.2373495940087573,-6.216823881879004,-5.116037111817843,2.31751177343198,1.9294895821511882,Af,A
183,JAMSTEC_97014,12.193170872123831,11.467240920848793,0.9275570996352879,0.6435264455792805,-5.480841738131583,-6.669747572136615,1.674377755436939,0.8683408863353457,Af,A
184,JAMSTEC_97180,12.423824239388702,7.863019464687695,1.3201325567686546,4.131217970786325,-7.9210276098101815,-4.555727871138598,1.1703943966626327,1.6862196766667776,Am,A
185,JAMSTEC_97230,12.540823566707557,12.079525129588932,1.5769306670919576,3.0991420299214725,-4.667303619001101,-1.4508171372999799,1.525336892401064,1.0173721674337126,Af,A
186,JAMSTEC_Kotot,11.996264755841155,13.906991782610586,2.1211123422413185,2.1579070163328056,-7.662554816906625,-7.84285772707827,1.8176577160511436,1.4888955985771062,Af,A
187,JAMSTEC_Palau,9.057926846920525,9.778609059723381,2.3608226916010886,1.791594776746309,-3.0806814510555753,-5.633284795464292,0.7905696119275497,0.8535382525374423,N,N
197,LQR3,15.92044918988499,11.640365367469597,2.4578492936708036,1.174728592884027,-1.7060640177414268,-2.9203926889172953,0.39655063309352895,0.8578790455792809,Af,A
199,LQR4,17.690990091407038,13.513161686514229,0.7522359653509968,0.7446072019462214,-2.2903986732230748,-3.675204491149489,0.3994849133275897,0.9548747820995696,Af,A
201,LQR6,16.248353095418317,11.53260629388782,1.9629092177143628,0.8441977425010587,-1.4472212902816368,-2.6578790123662834,0.6316056895054196,0.8888505418859949,Af,A
202,LQS11_LQR5b,14.109058015662733,9.875541314996354,1.8479583055989415,0.937931330015722,-0.9612099151611825,-2.7035937091431124,0.5840658791374271,1.2072165860077824,Af,A
227,MZV_airport,10.975891124171119,11.987291795779175,2.4046941783500597,1.6708970242842482,-7.76084115586026,-8.80929254466036,2.389367496188608,1.8958608255941682,Af,A
308,SAfricaPrec_02,7.564416476073523,14.965560994282257,6.802006465634694,5.355722833551907,-1.4036543901272134,-3.6260401629620014,2.2349570570586828,1.073118201908965,Csb,C
325,SAfricaPrec_19,15.309686631541549,13.971111111111108,3.836227833736032,2.683250286269515,-3.706887827458714,-1.292222222222222,1.5084580397160556,2.363776534736911,Cwa,C
342,SanAgustin_PR,13.863043478260868,7.4963257558129,3.9225833710014966,3.43515932006088,-1.2108695652173909,-1.8660886431814638,1.176789712083271,1.409108320062526,Af,A
701,isomap_1009100,8.943030303030305,7.598857142857147,1.8081373051384297,2.1823627712427016,-10.167272727272724,-7.170857142857143,1.7811798485533576,1.2211502105534326,Cfb,C
704,isomap_1011300,7.844324324324324,7.497948717948721,1.8948543986573343,1.4200454660239836,-7.803513513513512,-6.247435897435899,1.4885113481600232,1.4772162280290588,Cfb,C
707,isomap_1013100,6.516095238095238,6.742761904761903,3.6669503341106835,2.88388345819548,-8.294666666666666,-6.244952380952381,1.9896570973610914,1.2655351766927356,Cfb,C
713,isomap_1018400,9.110967741935484,6.958857142857146,1.9226248100577874,3.436320101028814,-10.613870967741937,-6.609142857142857,1.9915850024692272,1.5808358935857247,Cfb,C
722,isomap_1026100,9.444081632653063,6.379215686274511,2.2728458456820353,2.846895690243406,-10.540204081632654,-6.097647058823529,2.437556898170804,1.490743449522845,Cfb,C
725,isomap_1028000,8.951999999999996,5.743749999999996,1.906938908303055,2.3732174231409955,-10.244000000000002,-6.6125,1.761555373337248,1.7590356022548261,Cfb,C
730,isomap_1032500,8.081176470588229,6.7711764705882365,3.0536770808250457,2.82127814662483,-9.297745098039215,-6.2694117647058825,2.2690284294068155,1.338947364961036,Cfb,C
733,isomap_1034800,2.151047619047621,4.975619047619046,5.545387946205645,3.1092865278095756,-8.419333333333332,-5.901904761904762,2.540423011894885,1.6782105522241157,Cfb,C
738,isomap_1038400,5.132952380952382,5.560190476190481,4.593586610712087,2.6531781412926474,-9.879904761904761,-6.448666666666667,2.743516164215304,1.7310250564424956,Cfb,C
741,isomap_1040600,7.385686274509806,6.081826923076923,2.897483867827641,2.947545512280935,-8.454117647058823,-5.920576923076922,2.1195714295542625,1.355536955007325,Cfb,C
744,isomap_1042700,12.297500000000001,9.70862745098039,2.7914053360269975,1.9237392302266707,-10.239791666666667,-7.365294117647058,1.8595132534968808,1.2229895113480567,Cfb,C
749,isomap_1046000,8.252244897959185,5.65921568627451,2.6598321761590764,2.9481079629692344,-11.227959183673468,-5.93313725490196,2.773496268134217,1.4246726355257873,Cfb,C
750,isomap_1046900,9.24037037037037,7.385925925925926,3.678267488190287,3.877669459734478,-10.96592592592593,-6.7477777777777765,2.3783868782561806,1.6147739971055988,Cfb,C
755,isomap_1049900,8.202083333333338,7.031200000000001,2.3133714198954065,2.9892772638214757,-11.340625000000001,-6.253399999999999,2.152929599261202,1.6045206262307754,Cfb,C
759,isomap_1051500,4.404536082474233,3.2073737373737363,3.546857479608787,4.234500336845494,-9.021546391752578,-4.722020202020202,2.623430248446938,1.7421506387441723,Cfb,C
763,isomap_1054400,11.528888888888888,9.782592592592597,2.410184537783952,2.5428423038339103,-10.946481481481479,-7.722685185185185,1.8889298924380313,1.5008927013253253,Cfb,C
768,isomap_1058200,12.208717948717954,10.110256410256417,2.6919168458669924,2.8154841886086075,-12.521282051282055,-7.041025641025642,2.0474163575003246,1.5325540855002675,Cfb,C
770,isomap_1060900,5.789444444444443,6.299722222222222,4.161320310718111,3.2509914323495024,-8.708518518518517,-5.5767592592592585,2.3279373380005453,1.4858965548360104,Cfb,C
774,isomap_1065500,5.46861111111111,5.609629629629632,3.564177599373599,2.5800322729556013,-10.201944444444447,-5.905,2.7885225938071305,1.4518191015769508,Cfb,C
778,isomap_1068500,5.358064516129032,6.469139784946235,3.3810303379850497,2.414279498440313,-10.892580645161292,-6.62967741935484,2.216583102908282,1.4483631484956467,Cfb,C
781,isomap_1072700,8.151818181818182,6.1602020202020205,2.345088727246655,2.3818420762845625,-9.882424242424241,-5.540303030303032,2.1723878269138357,1.3486397595733,Cfb,C
783,isomap_1073900,4.858592592592596,5.490298507462688,4.8392036631328565,3.1068160359188566,-10.321407407407406,-5.783880597014925,2.5908800629681554,1.5310302406168292,Cfb,C
787,isomap_1077600,2.4152777777777734,5.9750925925925955,3.9368375300048024,2.6238604212010075,-11.630555555555556,-6.67138888888889,2.8637875830772876,1.7212756135071225,Cfb,C
795,isomap_1086,9.952118303108866,3.8297371885659834,2.5453476989432064,3.7571260002216564,-9.403004371836099,-7.66003297883336,1.206185867116513,1.8090176314237212,Csb,C
796,isomap_1086801,7.952380952380947,8.284285714285716,3.1511085045196716,1.9764315400876031,-12.805238095238094,-7.356666666666667,2.2584468304938685,1.6719145949175793,Cfa,C
797,isomap_1087,9.054606101014334,5.703550445246214,2.2266150878989968,1.2903653145696123,-6.98786719422903,-6.098150902488629,1.5190676221468247,1.4072534839776654,Csb,C
799,isomap_1089300,9.63102040816327,8.398039215686273,2.4141151629513593,1.813030200594034,-12.45795918367347,-6.984313725490197,2.6035752338532556,1.5509342597437543,Cfb,C
801,isomap_1090800,9.56181818181819,9.92833333333334,3.4811853210752077,2.762733650249742,-11.14181818181818,-7.656666666666665,2.215432722688805,1.5095381928111506,Cfb,C
802,isomap_1090801,5.312717391304353,6.139782608695653,4.124762470963811,2.7332966948917643,-10.70445652173913,-5.728478260869564,2.1936877646965187,1.4922596920971378,Cfb,C
804,isomap_1092,7.88294597235961,1.0207467784150417,1.4148039799189218,7.700741062431103,-20.65219420011812,-6.315264921216116,6.061284287553536,2.1564281194782216,BSk,B
805,isomap_1092900,5.718333333333326,7.287592592592595,3.2666367629016793,2.521427017462448,-12.537314814814817,-6.7608333333333315,2.427000742602964,1.6249211519332256,Cfb,C
807,isomap_1096200,10.209405940594058,9.918199999999999,2.6214027012919856,2.0579331281652484,-14.166732673267324,-8.1343,2.363497621692126,1.6072095414102043,Cfb,C
808,isomap_1096300,5.842592592592589,8.189999999999998,4.173464980700131,2.279356634374417,-14.337129629629628,-7.329629629629629,2.232211596785974,1.7835871708888025,Dfc,D
809,isomap_1103500,7.341737217489937,5.273272806948719,6.078280130048939,4.603960110366706,-13.123131843033557,-6.713063208352564,3.3908312809919714,1.5869377117228103,Cfb,C
812,isomap_1123101,7.827096774193557,9.503235294117648,4.4060780552941194,2.2561539640154322,-14.86145161290323,-6.931470588235293,3.4006815478068777,1.365209814413243,Dfb,D
813,isomap_1126501,10.113333333333333,12.154000000000003,2.980736672554474,3.06783955831389,-13.640555555555556,-8.182444444444444,2.9547857080077593,1.8945309071178258,Dfb,D
814,isomap_1129001,8.368965517241385,7.406222222222225,4.014065796321947,2.2864579971736885,-13.863218390804597,-6.586333333333333,2.7161828753004786,1.2885913497562624,Dfb,D
815,isomap_1137901,11.068571428571435,5.069411764705888,2.9864045681886466,5.303761673498664,-13.801428571428572,-6.432941176470588,3.2509841524042646,1.6312851833695317,Cfb,C
822,isomap_1160,11.647435881643174,7.956320979393428,5.045855818209786,5.222721671118849,-0.8853916216615744,-1.3141115452583647,0.7566271061659889,0.7273587413210497,Am,A
823,isomap_1160301,12.58427243217392,10.292271698695656,2.0145044153963365,3.0078792470619247,-12.664919267826084,-7.512356648913043,2.269836493825182,1.7698538686627414,Cfb,C
836,isomap_1175,17.026666666666664,19.066666666666666,2.2792445142098203,2.4510097692357107,-4.774166666666667,-8.03,1.0581623877689514,2.0657460315020977,Cfb,C
